,Unnamed: 0,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
1300,2712,BACHELOR IN ELEMENTARY EDUCATION,CTE,87.6,54.75,72.66,79.96,53.29,81.43,348.26,69.652,142.35,133.25
1301,2722,BACHELOR IN ELEMENTARY EDUCATION,CTE,78.85,87.4,91.97,24.91,72.9,81.43,356.03,71.206,166.25,97.81
1302,2746,BACHELOR OF SECONDARY EDUCATION,CTE,58.56,94.82,66.81,95.71,63.1,81.43,379.0,75.8,153.38,158.81
1303,2777,BACHELOR OF SECONDARY EDUCATION,CTE,78.85,82.26,72.66,63.45,83.75,81.43,380.97,76.194,161.11,147.2
1304,54,BS ARCHITECTURE,College of Architecture,86.35,90.94,51.68,79.96,33.69,82.12,342.62,68.524,177.29,113.65
1305,71,BS ARCHITECTURE,College of Architecture,84.91,94.82,29.96,53.82,83.75,82.12,347.26,69.452,179.73,137.57
1306,99,BS ARCHITECTURE,College of Architecture,86.35,82.26,36.55,75.28,79.78,82.12,360.22,72.044,168.61,155.06
1307,101,BS ARCHITECTURE,College of Architecture,83.47,61.11,72.66,75.28,83.75,82.12,376.27,75.254,144.58,159.03
1308,115,BS ARCHITECTURE,College of Architecture,82.02,77.12,44.12,79.96,87.72,82.12,370.94,74.188,159.14,167.68
1309,358,BS CRIMINOLOGY,CCJE,74.8,66.85,89.19,84.63,72.9,82.12,388.37,77.674,141.65,157.53
1310,545,BS CIVIL ENGINEERING,COE,78.85,61.11,85.06,63.45,91.68,82.12,380.15,76.03,139.96,155.13
1311,795,BS MECHANICAL ENGINEERING,COE,82.02,48.4,66.81,92.22,83.75,82.12,373.2,74.64,130.42,175.97
1312,799,BS MECHANICAL ENGINEERING,COE,72.78,54.75,66.81,97.95,72.9,82.12,365.19,73.038,127.53,170.85
1313,961,BS NUTRITION AND DIETETICS,CHE,87.6,77.12,51.68,63.45,79.78,82.12,359.63,71.926,164.72,143.23
1314,988,BS HOSPITALITY MANAGEMENT,CHE,87.6,71.99,85.06,34.54,63.1,82.12,342.29,68.458,159.59,97.64
1315,991,BS HOSPITALITY MANAGEMENT,CHE,80.58,82.26,80.93,70.61,63.1,82.12,377.48,75.496,162.84,133.71
1316,1108,BS COMPUTER SCIENCE,CCS,76.83,71.99,80.93,84.63,72.9,82.12,387.28,77.456,148.82,157.53
1317,1123,BS INFORMATION TECHNOLOGY,CCS,89.71,77.12,72.66,34.54,63.1,82.12,337.13,67.426,166.83,97.64
1318,1160,BS INFORMATION TECHNOLOGY,CCS,82.02,71.99,66.81,75.28,83.75,82.12,379.85,75.97,154.01,159.03
1319,1163,BS INFORMATION TECHNOLOGY,CCS,83.47,77.12,51.68,84.63,72.9,82.12,369.8,73.96,160.59,157.53
1320,1217,BA ENGLISH,CLA,88.66,61.11,72.66,70.61,63.1,82.12,356.14,71.228,149.77,133.71
1321,1301,BA FILIPINO ,CLA,84.91,90.94,76.79,34.54,63.1,82.12,350.28,70.056,175.85,97.64
1322,1322,BA JOURNALISM,CLA,88.66,82.26,59.25,44.18,72.9,82.12,347.25,69.45,170.92,117.08
1323,1372,BA POLITICAL SCIENCE,CLA,66.01,87.4,89.19,79.96,79.78,82.12,402.34,80.468,153.41,159.74
1324,1373,BA POLITICAL SCIENCE,CLA,74.8,71.99,89.19,79.96,72.9,82.12,388.84,77.768,146.79,152.86
1325,1587,BS ACCOUNTANCY,CLA,72.78,92.88,72.66,75.28,79.78,82.12,393.38,78.676,165.66,155.06
1326,1603,BS ACCOUNTANCY,CLA,92.71,54.75,59.25,63.45,63.1,82.12,333.26,66.652,147.46,126.55
1327,1625,BS ACCOUNTANCY,CLA,70.75,61.11,72.66,97.62,72.9,82.12,375.04,75.008,131.86,170.52
1328,1783,BS PSYCHOLOGY,CLA,91.83,66.85,51.68,70.61,53.29,82.12,334.26,66.852,158.68,123.9
1329,1949,BS NURSING,CN,88.66,87.4,89.19,10.45,53.29,82.12,328.99,65.798,176.06,63.74
1330,1952,BS NURSING,CN,78.85,71.99,76.79,75.28,83.75,82.12,386.66,77.332,150.84,159.03
1331,1969,BS NURSING,CN,72.78,54.75,93.41,75.28,87.72,82.12,383.94,76.788,127.53,163.0
1332,1976,BS NURSING,CN,80.58,82.26,66.81,44.18,95.65,82.12,369.48,73.896,162.84,139.83
1333,2063,BS NURSING,CN,88.66,77.12,59.25,44.18,79.78,82.12,348.99,69.798,165.78,123.96
1334,2083,BS NURSING,CN,78.85,77.12,76.79,79.96,72.9,82.12,385.62,77.124,155.97,152.86
1335,2289,BS BIOLOGY,CSM,74.8,61.11,98.86,63.45,53.29,82.12,351.51,70.302,135.91,116.74
1336,2311,BS BIOLOGY,CSM,83.47,90.94,51.68,44.18,87.72,82.12,357.99,71.598,174.41,131.9
1337,2497,BS COMMUNITY DEVELOPMENT,CSWCD,91.83,77.12,51.68,14.31,87.72,82.12,322.66,64.532,168.95,102.03
1338,2522,BS SOCIAL WORK,CSWCD,78.85,77.12,80.93,75.28,72.9,82.12,385.08,77.016,155.97,148.18
1339,2544,BS SOCIAL WORK,CSWCD,78.85,92.88,76.79,53.82,72.9,82.12,375.24,75.048,171.73,126.72
1340,2637,BACHELOR IN ELEMENTARY EDUCATION,CTE,78.85,77.12,89.19,63.45,72.9,82.12,381.51,76.302,155.97,136.35
1341,2650,BACHELOR IN ELEMENTARY EDUCATION,CTE,83.47,96.76,76.79,14.31,72.9,82.12,344.23,68.846,180.23,87.21
1342,2667,BACHELOR IN ELEMENTARY EDUCATION,CTE,78.85,82.26,76.79,44.18,91.68,82.12,373.76,74.752,161.11,135.86
1343,2699,BACHELOR IN ELEMENTARY EDUCATION,CTE,86.35,82.26,80.93,44.18,53.29,82.12,347.01,69.402,168.61,97.47
1344,2705,BACHELOR IN ELEMENTARY EDUCATION,CTE,83.47,54.75,76.79,53.82,95.65,82.12,364.48,72.896,138.22,149.47
1345,2727,BACHELOR IN ELEMENTARY EDUCATION,CTE,83.47,77.12,80.93,53.82,72.9,82.12,368.24,73.648,160.59,126.72
1346,2780,BACHELOR OF SECONDARY EDUCATION,CTE,76.83,87.4,72.66,89.31,53.29,82.12,379.49,75.898,164.23,142.6
1347,2815,BS VALUES EDUCATION,CTE,83.47,77.12,66.81,79.96,63.1,82.12,370.46,74.092,160.59,143.06
1348,2830,BACHELOR OF SPECIAL NEEDS EDUCATION,CTE,84.91,77.12,4.27,89.31,97.87,82.12,353.48,70.696,162.03,187.18
1349,2846,BACHELOR OF SPECIAL NEEDS EDUCATION,CTE,82.02,92.88,89.19,14.31,72.9,82.12,351.3,70.26,174.9,87.21
1350,37,BS AGRIBUSINESS,College of Agriculture,83.47,87.4,80.93,53.82,63.1,82.81,368.72,73.744,170.87,116.92
1351,44,BS ARCHITECTURE,College of Architecture,87.6,92.88,66.81,44.18,53.29,82.81,344.76,68.952,180.48,97.47
1352,85,BS ARCHITECTURE,College of Architecture,70.75,54.75,94.84,79.96,87.72,82.81,388.02,77.604,125.5,167.68
1353,132,BS ARCHITECTURE,College of Architecture,74.8,87.4,80.93,63.45,87.72,82.81,394.3,78.86,162.2,151.17
1354,189,BACHELOR OF ARTS IN ASIAN STUDIES,CAIS,89.71,54.75,59.25,79.96,72.9,82.81,356.57,71.314,144.46,152.86
1355,357,BS CRIMINOLOGY,CCJE,88.66,82.26,76.79,34.54,63.1,82.81,345.35,69.07,170.92,97.64
1356,378,BS CRIMINOLOGY,CCJE,90.77,87.4,59.25,53.82,43.49,82.81,334.73,66.946,178.17,97.31
1357,394,BS CRIMINOLOGY,CCJE,76.83,82.26,89.19,53.82,83.75,82.81,385.85,77.17,159.09,137.57
1358,395,BS CRIMINOLOGY,CCJE,68.5,87.4,89.19,79.96,79.78,82.81,404.83,80.966,155.9,159.74
1359,414,BS CRIMINOLOGY,CCJE,80.58,87.4,72.66,79.96,63.1,82.81,383.7,76.74,167.98,143.06
1360,630,BS ELECTRONICS AND COMMUNICATION ENGINEERING,COE,68.5,71.99,91.97,79.96,87.72,82.81,400.14,80.028,140.49,167.68
1361,676,BS ELECTRICAL ENGINEERING,COE,76.83,54.75,76.79,89.31,91.68,82.81,389.36,77.872,131.58,180.99
1362,691,BS ENVIRONMENTAL ENGINEERING,COE,74.8,82.26,80.93,89.31,63.1,82.81,390.4,78.08,157.06,152.41
1363,745,BACHELOR OF EARLY CHILDHOOD EDUCATION ,COE,84.91,92.88,36.55,75.28,72.9,82.81,362.52,72.504,177.79,148.18
1364,963,BS NUTRITION AND DIETETICS,CHE,80.58,82.26,89.19,84.63,26.06,82.81,362.72,72.544,162.84,110.69
1365,981,BS HOSPITALITY MANAGEMENT,CHE,83.47,90.94,44.12,63.45,87.72,82.81,369.7,73.94,174.41,151.17
1366,1077,BS COMPUTER SCIENCE,CCS,74.8,92.88,85.06,63.45,72.9,82.81,389.09,77.818,167.68,136.35
1367,1083,BS COMPUTER SCIENCE,CCS,78.85,61.11,76.79,84.63,87.72,82.81,389.1,77.82,139.96,172.35
1368,1093,BS COMPUTER SCIENCE,CCS,84.91,90.94,76.79,24.91,79.78,82.81,357.33,71.466,175.85,104.69
1369,1214,BA ENGLISH,CLA,93.41,71.99,51.68,34.54,72.9,82.81,324.52,64.904,165.4,107.44
1370,1254,BA ENGLISH,CLA,86.35,48.4,89.19,70.61,72.9,82.81,367.45,73.49,134.75,143.51
1371,1365,BA POLITICAL SCIENCE,CLA,89.71,90.94,80.93,70.61,4.24,82.81,336.43,67.286,180.65,74.85
1372,1403,BA POLITICAL SCIENCE,CLA,82.02,90.94,66.81,63.45,79.78,82.81,383.0,76.6,172.96,143.23
1373,1421,BA POLITICAL SCIENCE,CLA,83.47,82.26,72.66,70.61,72.9,82.81,381.9,76.38,165.73,143.51
1374,1449,BS BROAD,CLA,82.02,87.4,76.79,24.91,91.68,82.81,362.8,72.56,169.42,116.59
1375,1489,BA ENGLISH,CLA,76.83,92.88,44.12,89.31,79.78,82.81,382.92,76.584,169.71,169.09
1376,1557,BA HISTORY,CLA,84.91,82.26,66.81,75.28,63.1,82.81,372.36,74.472,167.17,138.38
1377,1589,BS ACCOUNTANCY,CLA,70.75,87.4,85.06,79.96,79.78,82.81,402.95,80.59,158.15,159.74
1378,1618,BS ACCOUNTANCY,CLA,84.91,71.99,29.96,93.38,79.78,82.81,360.02,72.004,156.9,173.16
1379,1756,BS PSYCHOLOGY,CLA,86.35,87.4,59.25,24.91,91.68,82.81,349.59,69.918,173.75,116.59
1380,1843,BS NURSING,CN,74.8,90.94,36.55,79.96,97.87,82.81,380.12,76.024,165.74,177.83
1381,2038,BS NURSING,CN,72.78,71.99,76.79,79.96,95.65,82.81,397.17,79.434,144.77,175.61
1382,2092,BS NURSING,CN,86.35,87.4,76.79,63.45,43.49,82.81,357.48,71.496,173.75,106.94
1383,2139,BACHELOR OF PHYSICAL EDUCATION,CSSPE,76.83,94.82,59.25,53.82,91.68,82.81,376.4,75.28,171.65,145.5
1384,2142,BACHELOR OF PHYSICAL EDUCATION,CSSPE,84.91,82.26,66.81,44.18,87.72,82.81,365.88,73.176,167.17,131.9
1385,2178,BACHELOR OF PHYSICAL EDUCATION,CSSPE,76.83,71.99,85.06,93.38,43.49,82.81,370.75,74.15,148.82,136.87
1386,2270,BS BIOLOGY,CSM,90.77,61.11,51.68,79.96,63.1,82.81,346.62,69.324,151.88,143.06
1387,2315,BS BIOLOGY,CSM,83.47,90.94,59.25,70.61,72.9,82.81,377.17,75.434,174.41,143.51
1388,2329,BS BIOLOGY,CSM,84.91,87.4,76.79,70.61,43.49,82.81,363.2,72.64,172.31,114.1
1389,2337,BS BIOLOGY,CSM,87.6,42.05,72.66,84.63,79.78,82.81,366.72,73.344,129.65,164.41
1390,2399,BS CHEMISTRY,CSM,74.8,71.99,89.19,79.96,79.78,82.81,395.72,79.144,146.79,159.74
1391,2442,BS PHYSICS,CSM,82.02,35.7,72.66,92.22,91.68,82.81,374.28,74.856,117.72,183.9
1392,2651,BACHELOR IN ELEMENTARY EDUCATION,CTE,87.6,77.12,72.66,34.54,83.75,82.81,355.67,71.134,164.72,118.29
1393,2655,BACHELOR IN ELEMENTARY EDUCATION,CTE,89.71,71.99,59.25,44.18,83.75,82.81,348.88,69.776,161.7,127.93
1394,2742,BACHELOR OF SECONDARY EDUCATION,CTE,72.78,87.4,66.81,79.96,91.68,82.81,398.63,79.726,160.18,171.64
1395,25,BS AGRICULTURE,College of Agriculture,78.85,42.05,85.06,92.22,87.72,83.5,385.9,77.18,120.9,179.94
1396,66,BS ARCHITECTURE,College of Architecture,61.05,87.4,76.79,95.71,83.75,83.5,404.7,80.94,148.45,179.46
1397,108,BS ARCHITECTURE,College of Architecture,84.91,54.75,85.06,70.61,83.75,83.5,379.08,75.816,139.66,154.36
1398,324,BS CRIMINOLOGY,CCJE,63.53,82.26,89.19,93.38,79.78,83.5,408.14,81.628,145.79,173.16
1399,432,BS CRIMINOLOGY,CCJE,72.78,92.88,89.19,53.82,83.75,83.5,392.42,78.484,165.66,137.57
1400,532,BS CIVIL ENGINEERING,COE,82.02,90.94,44.12,79.96,83.75,83.5,380.79,76.158,172.96,163.71
1401,615,BS COMPUTER ENGINEERING,COE,66.01,61.11,80.93,98.29,72.9,83.5,379.24,75.848,127.12,171.19
1402,656,BS ELECTRICAL ENGINEERING,COE,74.8,71.99,76.79,93.38,79.78,83.5,396.74,79.348,146.79,173.16
1403,675,BS ELECTRICAL ENGINEERING,COE,70.75,77.12,85.06,93.38,72.9,83.5,399.21,79.842,147.87,166.28
1404,681,BS ELECTRICAL ENGINEERING,COE,76.83,54.75,89.19,84.63,87.72,83.5,393.12,78.624,131.58,172.35
1405,696,BS ENVIRONMENTAL ENGINEERING,COE,83.47,77.12,72.66,63.45,87.72,83.5,384.42,76.884,160.59,151.17
1406,742,BACHELOR OF EARLY CHILDHOOD EDUCATION ,COE,87.6,42.05,89.19,63.45,83.75,83.5,366.04,73.208,129.65,147.2
1407,771,BS MECHANICAL ENGINEERING,COE,89.71,92.88,76.79,24.91,43.49,83.5,327.78,65.556,182.59,68.4
1408,871,BS INDUSTRIAL ENGINEERING,COE,82.02,48.4,89.19,79.96,83.75,83.5,383.32,76.664,130.42,163.71
1409,1033,BS COMPUTER SCIENCE,CCS,84.91,61.11,80.93,79.96,72.9,83.5,379.81,75.962,146.02,152.86
1410,1135,BS INFORMATION TECHNOLOGY,CCS,90.77,82.26,36.55,63.45,79.78,83.5,352.81,70.562,173.03,143.23
1411,1175,BS INFORMATION TECHNOLOGY,CCS,84.91,61.11,85.06,89.31,43.49,83.5,363.88,72.776,146.02,132.8
1412,1191,BS INFORMATION TECHNOLOGY,CCS,87.6,54.75,59.25,89.31,79.78,83.5,370.69,74.138,142.35,169.09
1413,1333,BA JOURNALISM,CLA,87.6,61.11,85.06,34.54,87.72,83.5,356.03,71.206,148.71,122.26
1414,1364,BA POLITICAL SCIENCE,CLA,88.66,71.99,29.96,84.63,83.75,83.5,358.99,71.798,160.65,168.38
1415,1376,BA POLITICAL SCIENCE,CLA,87.6,54.75,80.93,75.28,72.9,83.5,371.46,74.292,142.35,148.18
1416,1408,BA POLITICAL SCIENCE,CLA,76.83,66.85,93.41,75.28,79.78,83.5,392.15,78.43,143.68,155.06
1417,1437,BA POLITICAL SCIENCE,CLA,84.91,82.26,72.66,53.82,83.75,83.5,377.4,75.48,167.17,137.57
1418,1686,BS ECONOMICS,CLA,88.66,77.12,66.81,44.18,83.75,83.5,360.52,72.104,165.78,127.93
1419,1716,BS ECONOMICS,CLA,83.47,82.26,72.66,70.61,79.78,83.5,388.78,77.756,165.73,150.39
1420,1757,BS PSYCHOLOGY,CLA,87.6,54.75,85.06,63.45,79.78,83.5,370.64,74.128,142.35,143.23
1421,1767,BS PSYCHOLOGY,CLA,78.85,90.94,51.68,75.28,91.68,83.5,388.43,77.686,169.79,166.96
1422,1778,BS PSYCHOLOGY,CLA,92.71,82.26,51.68,10.45,91.68,83.5,328.78,65.756,174.97,102.13
1423,1795,BS PSYCHOLOGY,CLA,87.6,77.12,51.68,70.61,83.75,83.5,370.76,74.152,164.72,154.36
1424,1816,BS PSYCHOLOGY,CLA,82.02,90.94,76.79,63.45,72.9,83.5,386.1,77.22,172.96,136.35
1425,1825,BS PSYCHOLOGY,CLA,74.8,94.82,89.19,63.45,63.1,83.5,385.36,77.072,169.62,126.55
1426,1839,BS NURSING,CN,82.02,82.26,36.55,79.96,95.65,83.5,376.44,75.288,164.28,175.61
1427,1867,BS NURSING,CN,82.02,71.99,66.81,89.31,79.78,83.5,389.91,77.982,154.01,169.09
1428,1923,BS NURSING,CN,82.02,90.94,72.66,53.82,83.75,83.5,383.19,76.638,172.96,137.57
1429,1974,BS NURSING,CN,63.53,92.88,91.97,79.96,79.78,83.5,408.12,81.624,156.41,159.74
1430,2059,BS NURSING,CN,80.58,82.26,72.66,89.31,63.1,83.5,387.91,77.582,162.84,152.41
1431,2133,BACHELOR OF PHYSICAL EDUCATION,CSSPE,86.35,87.4,66.81,79.96,43.49,83.5,364.01,72.802,173.75,123.45
1432,2242,BS BIOLOGY,CSM,89.71,71.99,44.12,79.96,72.9,83.5,358.68,71.736,161.7,152.86
1433,2248,BS BIOLOGY,CSM,84.91,66.85,80.93,70.61,79.78,83.5,383.08,76.616,151.76,150.39
1434,2323,BS BIOLOGY,CSM,70.75,87.4,72.66,92.22,83.75,83.5,406.78,81.356,158.15,175.97
1435,2345,BS BIOLOGY,CSM,93.41,48.4,72.66,18.16,91.68,83.5,324.31,64.862,141.81,109.84
1436,2351,BS BIOLOGY,CSM,80.58,87.4,85.06,70.61,63.1,83.5,386.75,77.35,167.98,133.71
1437,2532,BS SOCIAL WORK,CSWCD,89.71,82.26,66.81,34.54,79.78,83.5,353.1,70.62,171.97,114.32
1438,2538,BS SOCIAL WORK,CSWCD,76.83,61.11,85.06,79.96,91.68,83.5,394.64,78.928,137.94,171.64
1439,2553,BS SOCIAL WORK,CSWCD,87.6,82.26,72.66,79.96,33.69,83.5,356.17,71.234,169.86,113.65
1440,2565,BS SOCIAL WORK,CSWCD,84.91,87.4,72.66,63.45,72.9,83.5,381.32,76.264,172.31,136.35
1441,2656,BACHELOR IN ELEMENTARY EDUCATION,CTE,84.91,71.99,80.93,53.82,83.75,83.5,375.4,75.08,156.9,137.57
1442,2672,BACHELOR IN ELEMENTARY EDUCATION,CTE,88.66,77.12,51.68,75.28,72.9,83.5,365.64,73.128,165.78,148.18
1443,2693,BACHELOR IN ELEMENTARY EDUCATION,CTE,86.35,82.26,66.81,84.63,43.49,83.5,363.54,72.708,168.61,128.12
1444,2717,BACHELOR IN ELEMENTARY EDUCATION,CTE,80.58,90.94,72.66,93.38,26.06,83.5,363.62,72.724,171.52,119.44
1445,2718,BACHELOR IN ELEMENTARY EDUCATION,CTE,84.91,82.26,76.79,63.45,72.9,83.5,380.31,76.062,167.17,136.35
1446,2786,BACHELOR OF SECONDARY EDUCATION,CTE,84.91,87.4,72.66,70.61,63.1,83.5,378.68,75.736,172.31,133.71
1447,2789,BACHELOR OF SECONDARY EDUCATION,CTE,74.8,61.11,72.66,92.22,95.65,83.5,396.44,79.288,135.91,187.87
1448,2795,BACHELOR OF SECONDARY EDUCATION,CTE,68.5,77.12,94.84,89.31,63.1,83.5,392.87,78.574,145.62,152.41
1449,2800,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES,CTE,83.47,87.4,89.19,34.54,72.9,83.5,367.5,73.5,170.87,107.44
1450,2835,BACHELOR OF SPECIAL NEEDS EDUCATION,CTE,68.5,90.94,94.84,44.18,87.72,83.5,386.18,77.236,159.44,131.9
1451,3,BACHELOR AGRICULTURAL TECHNOLOGY,College of Agriculture,82.02,77.12,72.66,63.45,95.65,84.19,390.9,78.18,159.14,159.1
1452,6,BS AGRICULTURE,College of Agriculture,74.8,66.85,89.19,93.38,72.9,84.19,397.12,79.424,141.65,166.28
1453,38,BS AGRIBUSINESS,College of Agriculture,72.78,94.82,80.93,79.96,72.9,84.19,401.39,80.278,167.6,152.86
1454,46,BS ARCHITECTURE,College of Architecture,72.78,90.94,76.79,93.38,63.1,84.19,396.99,79.398,163.72,156.48
1455,106,BS ARCHITECTURE,College of Architecture,70.75,92.88,72.66,95.71,53.29,84.19,385.29,77.058,163.63,149.0
1456,124,BS ARCHITECTURE,College of Architecture,82.02,71.99,91.97,53.82,83.75,84.19,383.55,76.71,154.01,137.57
1457,125,BS ARCHITECTURE,College of Architecture,76.83,61.11,76.79,92.22,91.68,84.19,398.63,79.726,137.94,183.9
1458,150,BS ARCHITECTURE,College of Architecture,61.05,87.4,93.41,84.63,87.72,84.19,414.21,82.842,148.45,172.35
1459,327,BS CRIMINOLOGY,CCJE,78.85,71.99,80.93,84.63,83.75,84.19,400.15,80.03,150.84,168.38
1460,446,BS CRIMINOLOGY,CCJE,87.6,94.82,72.66,63.45,33.69,84.19,352.22,70.444,182.42,97.14
1461,457,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,COE,84.91,77.12,80.93,63.45,79.78,84.19,386.19,77.238,162.03,143.23
1462,533,BS CIVIL ENGINEERING,COE,72.78,90.94,80.93,92.22,63.1,84.19,399.97,79.994,163.72,155.32
1463,535,BS CIVIL ENGINEERING,COE,74.8,71.99,85.06,92.22,79.78,84.19,403.85,80.77,146.79,172.0
1464,559,BS CIVIL ENGINEERING,COE,82.02,94.82,51.68,79.96,72.9,84.19,381.38,76.276,176.84,152.86
1465,595,BS COMPUTER ENGINEERING,COE,83.47,71.99,85.06,84.63,53.29,84.19,378.44,75.688,155.46,137.92
1466,598,BS COMPUTER ENGINEERING,COE,76.83,94.82,51.68,75.28,91.68,84.19,390.29,78.058,171.65,166.96
1467,609,BS COMPUTER ENGINEERING,COE,83.47,87.4,89.19,53.82,63.1,84.19,376.98,75.396,170.87,116.92
1468,631,BS ELECTRONICS AND COMMUNICATION ENGINEERING,COE,86.35,87.4,59.25,44.18,91.68,84.19,368.86,73.772,173.75,135.86
1469,643,BS ELECTRICAL ENGINEERING,COE,87.6,92.88,51.68,53.82,79.78,84.19,365.76,73.152,180.48,133.6
1470,699,BS ENVIRONMENTAL ENGINEERING,COE,84.91,82.26,76.79,34.54,91.68,84.19,370.18,74.036,167.17,126.22
1471,717,BS GEODETIC ENGINEERING,COE,66.01,71.99,72.66,97.95,83.75,84.19,392.36,78.472,138.0,181.7
1472,772,BS MECHANICAL ENGINEERING,COE,66.01,77.12,91.97,93.38,79.78,84.19,408.26,81.652,143.13,173.16
1473,774,BS MECHANICAL ENGINEERING,COE,86.35,66.85,51.68,75.28,95.65,84.19,375.81,75.162,153.2,170.93
1474,800,BS MECHANICAL ENGINEERING,COE,74.8,71.99,76.79,93.38,83.75,84.19,400.71,80.142,146.79,177.13
1475,804,BS MECHANICAL ENGINEERING,COE,89.71,82.26,72.66,79.96,26.06,84.19,350.65,70.13,171.97,106.02
1476,821,BS SANITARY ENGINEERING,COE,92.71,71.99,80.93,18.16,72.9,84.19,336.69,67.338,164.7,91.06
1477,846,BS INDUSTRIAL ENGINEERING,COE,86.35,92.88,76.79,70.61,33.69,84.19,360.32,72.064,179.23,104.3
1478,851,BS INDUSTRIAL ENGINEERING,COE,82.02,61.11,91.97,75.28,79.78,84.19,390.16,78.032,143.13,155.06
1479,861,BS INDUSTRIAL ENGINEERING,COE,80.58,66.85,76.79,95.71,53.29,84.19,373.22,74.644,147.43,149.0
1480,1170,BS INFORMATION TECHNOLOGY,CCS,72.78,90.94,93.41,53.82,83.75,84.19,394.7,78.94,163.72,137.57
1481,1198,BA ENGLISH,CLA,74.8,90.94,76.79,53.82,97.87,84.19,394.22,78.844,165.74,151.69
1482,1203,BA ENGLISH,CLA,82.02,94.82,59.25,84.63,53.29,84.19,374.01,74.802,176.84,137.92
1483,1287,BA FILIPINO ,CLA,86.35,66.85,91.97,53.82,72.9,84.19,371.89,74.378,153.2,126.72
1484,1380,BA POLITICAL SCIENCE,CLA,88.66,82.26,72.66,70.61,53.29,84.19,367.48,73.496,170.92,123.9
1485,1609,BS ACCOUNTANCY,CLA,86.35,54.75,76.79,84.63,79.78,84.19,382.3,76.46,141.1,164.41
1486,1745,BS ECONOMICS,CLA,91.83,71.99,59.25,70.61,63.1,84.19,356.78,71.356,163.82,133.71
1487,1872,BS NURSING,CN,82.02,90.94,44.12,84.63,83.75,84.19,385.46,77.092,172.96,168.38
1488,1934,BS NURSING,CN,58.56,61.11,85.06,98.97,79.78,84.19,383.48,76.696,119.67,178.75
1489,1965,BS NURSING,CN,86.35,66.85,93.41,70.61,43.49,84.19,360.71,72.142,153.2,114.1
1490,2055,BS NURSING,CN,82.02,87.4,51.68,92.22,72.9,84.19,386.22,77.244,169.42,165.12
1491,2069,BS NURSING,CN,87.6,71.99,91.97,34.54,72.9,84.19,359.0,71.8,159.59,107.44
1492,2100,BS NURSING,CN,78.85,90.94,76.79,79.96,72.9,84.19,399.44,79.888,169.79,152.86
1493,2259,BS BIOLOGY,CSM,86.35,90.94,91.97,44.18,33.69,84.19,347.13,69.426,177.29,77.87
1494,2292,BS BIOLOGY,CSM,88.66,96.76,59.25,18.16,79.78,84.19,342.61,68.522,185.42,97.94
1495,2295,BS BIOLOGY,CSM,82.02,87.4,80.93,92.22,26.06,84.19,368.63,73.726,169.42,118.28
1496,2314,BS BIOLOGY,CSM,82.02,82.26,91.97,24.91,87.72,84.19,368.88,73.776,164.28,112.63
1497,2469,BS COMMUNITY DEVELOPMENT,CSWCD,93.41,90.94,44.12,34.54,63.1,84.19,326.11,65.222,184.35,97.64
1498,2502,BS COMMUNITY DEVELOPMENT,CSWCD,83.47,87.4,76.79,70.61,72.9,84.19,391.17,78.234,170.87,143.51
1499,2630,BACHELOR IN ELEMENTARY EDUCATION,CTE,83.47,82.26,72.66,63.45,87.72,84.19,389.56,77.912,165.73,151.17
1500,2632,BACHELOR IN ELEMENTARY EDUCATION,CTE,83.47,90.94,80.93,70.61,53.29,84.19,379.24,75.848,174.41,123.9
1501,2642,BACHELOR IN ELEMENTARY EDUCATION,CTE,82.02,77.12,89.19,63.45,79.78,84.19,391.56,78.312,159.14,143.23
1502,2675,BACHELOR IN ELEMENTARY EDUCATION,CTE,80.58,90.94,80.93,63.45,79.78,84.19,395.68,79.136,171.52,143.23
1503,2686,BACHELOR IN ELEMENTARY EDUCATION,CTE,82.02,82.26,59.25,94.54,53.29,84.19,371.36,74.272,164.28,147.83
1504,2688,BACHELOR IN ELEMENTARY EDUCATION,CTE,89.71,82.26,59.25,63.45,72.9,84.19,367.57,73.514,171.97,136.35
1505,2804,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES,CTE,83.47,92.88,80.93,44.18,72.9,84.19,374.36,74.872,176.35,117.08
1506,2806,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES,CTE,94.81,94.82,66.81,14.31,26.06,84.19,296.81,59.362,189.63,40.37
1507,2824,BS VALUES EDUCATION,CTE,90.77,77.12,72.66,44.18,72.9,84.19,357.63,71.526,167.89,117.08
1508,2859,BACHELOR OF SPECIAL NEEDS EDUCATION,CTE,83.47,66.85,85.06,70.61,83.75,84.19,389.74,77.948,150.32,154.36
1509,59,BS ARCHITECTURE,College of Architecture,86.35,61.11,76.79,79.96,83.75,84.88,387.96,77.592,147.46,163.71
1510,109,BS ARCHITECTURE,College of Architecture,90.77,82.26,36.55,79.96,72.9,84.88,362.44,72.488,173.03,152.86
1511,350,BS CRIMINOLOGY,CCJE,72.78,82.26,80.93,89.31,87.72,84.88,413.0,82.6,155.04,177.03
1512,370,BS CRIMINOLOGY,CCJE,89.71,82.26,80.93,6.59,95.65,84.88,355.14,71.028,171.97,102.24
